ID,Tag,Reputation,Answers,Username,Views,Upvotes
52664,a,3942.0,2.0,155623,7855.0,42.0
327662,a,26046.0,12.0,21781,55801.0,1175.0
468453,c,1358.0,4.0,56177,8067.0,60.0
96996,a,264.0,3.0,168793,27064.0,9.0
131465,c,4271.0,4.0,112223,13986.0,83.0
345568,r,440.0,1.0,23866,5577.0,4.0
376865,c,147.0,1.0,10759,17184.0,17.0
467378,j,2269.0,2.0,54623,312.0,3.0
393640,j,111.0,2.0,172926,53738.0,79.0
130054,c,2749.0,1.0,10189,227.0,0.0
218471,c,1142.0,7.0,71822,141836.0,166.0
144119,p,2554.0,1.0,137817,8086.0,42.0
155955,s,591.0,4.0,36550,16102.0,19.0
442549,h,394.0,1.0,83356,266.0,2.0
243606,o,2989.0,2.0,13728,5579.0,10.0
375736,c,7952.0,2.0,62155,29191.0,223.0
280957,i,731.0,4.0,43559,5622.0,13.0
92433,j,1655.0,3.0,101561,3949.0,8.0
46038,c,922.0,2.0,132697,1133.0,9.0
249294,j,13443.0,4.0,36775,13096.0,79.0
196152,j,7608.0,3.0,170045,20035.0,62.0
167622,j,166.0,1.0,37105,1881.0,0.0
347488,j,774.0,3.0,108729,7169.0,10.0
364634,j,101.0,8.0,76000,55594.0,48.0
424730,h,2698.0,3.0,103006,16634.0,64.0
412681,o,366.0,1.0,94185,6152.0,4.0
223188,c,569.0,12.0,116775,38443.0,57.0
12366,i,137.0,0.0,40829,2052.0,5.0
8721,i,3376.0,5.0,137432,11389.0,47.0
131779,s,380.0,3.0,15975,1323.0,5.0
106895,a,347.0,3.0,154557,22195.0,8.0
420600,r,76.0,2.0,96879,8668.0,1.0
293535,j,1740.0,2.0,16515,12630.0,40.0
292364,a,9051.0,2.0,58930,46305.0,363.0
244825,a,56188.0,7.0,122559,37549.0,2474.0
146246,c,1100.0,4.0,153787,32978.0,83.0
347323,r,54.0,1.0,81259,886.0,2.0
254132,h,18404.0,13.0,73061,118423.0,2963.0
386883,c,46.0,9.0,167231,8466.0,25.0
245452,p,16272.0,8.0,59430,31055.0,451.0
376930,i,65156.0,4.0,91033,482.0,24.0
437170,o,627.0,4.0,120144,35104.0,27.0
427140,i,77.0,1.0,170904,1810.0,13.0
265741,p,70.0,4.0,171611,2660.0,10.0
222491,c,1718.0,1.0,103702,2261.0,14.0
45886,j,87.0,1.0,145126,289.0,5.0
186056,i,0.0,22.0,45812,45331.0,30.0
434154,i,17465.0,4.0,19956,47336.0,1013.0
277295,c,12295.0,3.0,126625,5597.0,103.0
7749,j,1787.0,5.0,77193,2938.0,10.0
7996,c,101.0,3.0,93829,231.0,1.0
323806,r,928.0,1.0,45341,901.0,3.0
163873,i,40663.0,3.0,21829,538.0,26.0
377134,c,47.0,1.0,34872,117.0,2.0
325303,j,2041.0,3.0,53730,15086.0,39.0
82468,p,597.0,5.0,63044,32072.0,58.0
430254,a,1884.0,1.0,123169,4000.0,30.0
255888,j,1056.0,1.0,152233,1777.0,5.0
5260,p,102.0,1.0,108672,9877.0,11.0
419674,s,1.0,2.0,162684,64.0,1.0
194334,a,12951.0,10.0,9362,33325.0,675.0
42012,c,57914.0,5.0,63016,90861.0,4186.0
451321,p,1273.0,12.0,172201,16509.0,47.0
155073,p,979.0,5.0,56590,55417.0,90.0
2161,s,20.0,1.0,103824,1224.0,2.0
127260,r,1037.0,2.0,144268,83982.0,80.0
178916,c,2102.0,6.0,15750,23020.0,50.0
453110,x,120.0,1.0,84269,13583.0,60.0
424345,j,1474.0,3.0,148030,14051.0,40.0
312895,p,307.0,4.0,126929,7799.0,7.0
203827,j,750.0,4.0,123145,7454.0,4.0
212595,i,644.0,2.0,53009,782.0,2.0
277799,o,331.0,2.0,33357,59329.0,36.0
463220,p,6.0,2.0,130672,125.0,0.0
350948,c,4707.0,8.0,48498,14719.0,46.0
139190,c,2457.0,11.0,14435,66101.0,237.0
96777,x,6033.0,2.0,133676,468.0,3.0
307975,s,1496.0,3.0,156,4854.0,9.0
404652,j,559.0,1.0,74104,32205.0,14.0
23155,c,2383.0,2.0,80714,58584.0,141.0
182875,o,138.0,3.0,126883,3354.0,25.0
368536,o,79.0,2.0,164487,363.0,2.0
308602,h,23.0,2.0,58117,6051.0,1.0
124565,c,1020.0,2.0,10870,11118.0,22.0
212204,p,15010.0,5.0,40427,16560.0,346.0
450025,h,927.0,2.0,56677,29503.0,25.0
254666,i,2963.0,1.0,111039,12353.0,25.0
135244,c,1634.0,1.0,9822,357.0,16.0
297439,i,15604.0,3.0,147388,22139.0,594.0
14408,j,3267.0,2.0,24593,3255.0,26.0
285049,c,857.0,5.0,51468,30656.0,35.0
348510,c,780.0,1.0,151136,1933.0,23.0
447902,p,18810.0,3.0,47467,13062.0,223.0
212021,j,66654.0,5.0,86529,2382.0,172.0
53552,c,953.0,1.0,118709,1105.0,4.0
90138,j,19027.0,41.0,23334,752007.0,12565.0
124316,p,1029.0,2.0,4924,15737.0,17.0
211076,c,545.0,3.0,43840,34967.0,22.0
149015,j,13684.0,4.0,132927,124171.0,1739.0
451048,p,96.0,2.0,87746,2465.0,3.0
107744,s,2945.0,13.0,12634,281031.0,804.0
205525,j,1135.0,2.0,66938,5810.0,9.0
158334,i,376.0,6.0,106751,14423.0,33.0
132890,s,2247.0,5.0,15904,91.0,3.0
52008,c,448.0,2.0,136080,335.0,0.0
401040,j,435.0,6.0,47725,23751.0,23.0
219767,j,271.0,2.0,97374,26825.0,13.0
282355,j,3803.0,6.0,111565,95335.0,597.0
317337,a,1824.0,3.0,131714,71567.0,65.0
433784,a,36.0,1.0,139896,5503.0,8.0
218866,j,5735.0,8.0,75641,216914.0,1141.0
3145,h,605.0,3.0,39583,9573.0,10.0
124808,c,2194.0,7.0,50050,25265.0,54.0
162649,h,509.0,1.0,23582,17845.0,32.0
471482,i,582.0,5.0,83915,4101.0,9.0
369937,j,9829.0,9.0,7343,31517.0,541.0
94077,o,5062.0,6.0,126067,11555.0,51.0
252006,p,38.0,1.0,4122,1840.0,5.0
418755,a,5993.0,3.0,65278,56439.0,399.0
253841,c,21011.0,4.0,64306,13128.0,270.0
228070,j,695.0,6.0,118887,50240.0,79.0
263667,c,40.0,1.0,106291,16334.0,13.0
98851,a,325.0,2.0,161502,4563.0,2.0
120485,s,10527.0,16.0,37816,84331.0,592.0
293831,a,21445.0,3.0,2280,9291.0,128.0
223448,a,171.0,3.0,12482,10601.0,7.0
300783,j,109.0,2.0,15869,42525.0,18.0
179417,j,71.0,1.0,89253,1742.0,2.0
313299,c,604.0,1.0,13055,4588.0,10.0
452379,x,501.0,3.0,7744,4234.0,4.0
77061,c,12172.0,2.0,7049,2465.0,49.0
16476,j,4325.0,3.0,56681,35528.0,127.0
301814,o,3384.0,12.0,74597,21643.0,137.0
377005,h,67157.0,2.0,100794,91080.0,3717.0
291455,j,77.0,1.0,105668,7379.0,11.0
197567,j,1995.0,4.0,101362,19462.0,100.0
249937,j,1.0,6.0,82170,4542.0,4.0
193774,s,484.0,3.0,111334,13067.0,14.0
138987,i,72.0,2.0,168451,6229.0,8.0
440889,a,55.0,5.0,136670,1946.0,1.0
339805,r,127.0,3.0,17161,3567.0,17.0
298857,h,0.0,6.0,170252,14618.0,6.0
378593,c,36759.0,5.0,9277,13738.0,260.0
296814,p,33404.0,3.0,107207,526.0,99.0
137940,j,1870.0,1.0,103057,16633.0,43.0
332978,o,53227.0,8.0,131754,50579.0,2614.0
35208,h,345.0,1.0,99144,567.0,1.0
266514,s,25.0,5.0,99894,1325.0,6.0
384960,s,2987.0,3.0,72664,11142.0,49.0
464255,c,2414.0,3.0,76800,21226.0,94.0
101978,j,38.0,3.0,6346,7755.0,3.0
124278,i,537.0,2.0,54506,4116.0,12.0
180590,o,411.0,1.0,28713,1158.0,1.0
216838,p,2802.0,1.0,18392,340.0,4.0
409699,j,9575.0,3.0,52274,9217.0,156.0
416146,j,2762.0,13.0,76313,895555.0,2056.0
63635,o,7286.0,6.0,42835,4005.0,43.0
394034,c,94541.0,12.0,21321,428.0,39.0
377129,s,16.0,1.0,63857,517.0,6.0
333700,j,230.0,2.0,2692,5197.0,9.0
411237,a,17610.0,5.0,132655,17446.0,310.0
161919,c,155.0,3.0,149876,21034.0,124.0
347732,j,4439.0,1.0,114189,2855.0,45.0
190907,i,6735.0,2.0,84500,10424.0,75.0
346762,s,983.0,1.0,112887,349.0,1.0
243976,p,5860.0,10.0,91359,4226.0,56.0
180612,p,425.0,1.0,48354,6155.0,52.0
412020,p,71.0,2.0,55720,1111.0,29.0
47381,a,137.0,8.0,91612,11309.0,11.0
314963,h,4684.0,2.0,86032,2364.0,33.0
392179,c,435.0,5.0,17267,45490.0,27.0
74551,h,1947.0,13.0,145257,5036.0,59.0
296031,a,8874.0,1.0,104414,2324.0,28.0
76917,s,9181.0,1.0,114339,1193.0,8.0
231799,c,12016.0,7.0,96660,5115.0,86.0
362776,i,1545.0,2.0,90640,1629.0,9.0
239497,j,5125.0,7.0,133670,219090.0,816.0
214118,p,1142.0,1.0,64060,267.0,15.0
253339,j,138.0,8.0,20925,9634.0,45.0
270356,s,3551.0,2.0,6208,3547.0,14.0
456320,c,2483.0,1.0,46894,28.0,0.0
364692,i,1147.0,1.0,287,781.0,0.0
333224,h,738.0,7.0,152482,43199.0,48.0
257459,p,1492.0,1.0,110647,2371.0,17.0
412035,a,183.0,4.0,165656,503.0,42.0
347753,j,238.0,6.0,71534,50325.0,109.0
143133,p,516.0,2.0,75665,4765.0,17.0
205985,j,1333.0,7.0,133179,126552.0,129.0
9273,j,113.0,3.0,10428,13292.0,7.0
129990,p,1572.0,2.0,17479,17107.0,57.0
220408,a,2083.0,3.0,73530,49154.0,260.0
162915,r,573.0,2.0,40686,3231.0,12.0
110957,c,3146.0,8.0,102700,133536.0,379.0
133817,s,401.0,2.0,560,1336.0,1.0
419544,i,6089.0,3.0,81878,2378.0,56.0
20050,r,1317.0,1.0,44397,5856.0,8.0
414185,c,607.0,2.0,56698,60150.0,40.0
20586,a,599.0,7.0,72645,8200.0,17.0
